,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POS,VARIACION,,JUGADOR,PUNTOS,HCP,TORNEOS,PROCEDENCIA,TARJETA 15,PUNTOS QUE PIERDE,TARJETA 16,,,,,,,,,,,,,,,,,,,,,CAMBIOS
PEREZ FABRICIO,1,?,0,AMERI GERARDO (41),2294.91,0,15,GENERAL LA MADRID (BA),75.00,0.00,60.64,33,,,,,,,,,,,,,,,,,,,,0
OLAECHEA AGUSTIN LEONARDO,2,?,0,GHEZZI MARCOS (45),2134.00,2,15,TANDIL (BA),38.49,0.00,31.12,41,,,,,,,,,,,,,,,,,,,,0
GARCIA LUCIANO MIGUEL,3,?,0,GARCIA LUCIANO MIGUEL (36),2106.02,0,15,MAR DEL PLATA (BA),55.78,0.00,53.73,38,,,,,,,,,,,,,,,,,,,,0
OLMEDO SEBASTIAN,4,?,0,MURUA DIEGO (45),2051.68,0,15,CABA (BA),18.87,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
VULCANO IGNACIO,5,?,0,BARRA ELCO DANIEL (55),1907.03,0,15,BAHIA BLANCA (BA),75.00,0.00,75.00,48,,,,,,,,,,,,,,,,,,,,0
MARINONE DIEGO,6,?,0,TREVOLAZAVALA LUCIANO (42),1824.94,2,15,TANDIL (BA),58.40,0.00,55.78,40,,,,,,,,,,,,,,,,,,,,0
TREVOLAZAVALA LUCIANO,7,?,0,BOERO MARIO (43),1822.60,2,15,TOTORAS (SF),45.48,0.00,45.48,40,,,,,,,,,,,,,,,,,,,,0
GONZALEZ VICTOR,8,?,0,CORTES MARCOS (39),1786.85,0,15,CARCARAÑA (SF),41.84,0.00,38.49,40,,,,,,,,,,,,,,,,,,,,0
GENSON MARCELO ARIEL,9,?,0,OCAMPO CRISTIAN ANIBAL (43),1785.24,1,15,BAHIA BLANCA (BA),53.73,0.00,47.22,43,,,,,,,,,,,,,,,,,,,,0
SUAREZ MARTIN,10,?,0,MOSCONI SILVIO (49),1777.71,0,15,BAHIA BLANCA (BA),47.22,0.00,41.84,29,,,,,,,,,,,,,,,,,,,,0
QUIROGA JOSE EDUARDO,11,?,0,GRASSO JULIAN NAZARENO (39),1766.71,2,15,MAR DEL PLATA (BA),55.78,0.00,41.84,40,,,,,,,,,,,,,,,,,,,,0
DELFINO MAXIMILIANO,12,?,0,MARTINEZ MEIER GERMAN (24),1754.22,0,6,SALDUNGARAY (BA),0.00,0.00,0.00,38,,,,,,,,,,,,,,,,,,,,0
CORRADI FEDERICO,13,?,0,LANDA EMANUEL (45),1731.27,2,15,GONZALEZ CHAVEZ (BA),53.73,0.00,51.32,30,,,,,,,,,,,,,,,,,,,,0
PETUNCHI WALTER,14,?,0,CONQUEIRO VICTOR (44),1716.87,2,15,TANDIL (BA),53.73,0.00,47.22,42,,,,,,,,,,,,,,,,,,,,0
LOPEZ GAVILAN ALEJANDRO,15,?,0,QUIROGA JOSE EDUARDO (44),1701.85,0,15,CORONEL PRINGLES (BA),69.00,0.00,69.00,38,,,,,,,,,,,,,,,,,,,,0
PEDRONCINI GABRIEL,16,?,0,VULCANO IGNACIO (35),1672.61,2,15,TANDIL (BA),49.43,0.00,49.43,53,,,,,,,,,,,,,,,,,,,,0
LANDA EMANUEL,17,?,0,DELFINO MAXIMILIANO (34),1658.50,0,15,MARIA JUANA (SF),45.48,0.00,45.48,49,,,,,,,,,,,,,,,,,,,,0
LOPEZ JUAN MANUEL,18,?,0,LUDUEÑA DANIEL (34),1655.59,1,15,MARIA JUANA (SF),58.40,0.00,51.32,48,,,,,,,,,,,,,,,,,,,,0
CORTES MARCOS,19,?,0,PEDRONCINI GABRIEL (31),1632.74,0,15,BAHIA BLANCA (BA),53.73,75.00,53.73,49,,,,,,,,,,,,,,,,,,,,0
